"","product_id","year","month","total_sales"
"603","PLIS010                  ",2018,1,437.399993896484
"604","PCDD1                    ",2018,1,352
"605","PC410041230              ",2018,1,585
"606","P6977H                   ",2018,1,720.359985351562
"607","P6937H                   ",2018,1,204.470001220703
"608","NSLX120L                 ",2018,1,6480
"609","MS1995                   ",2018,1,334.320007324219
"610","MS0005                   ",2018,1,316.320007324219
"611","MS0001                   ",2018,1,3194
"612","MPY501H                  ",2018,1,309.290008544922
"613","MPY497H                  ",2018,1,821.649993896484
"614","MPP8875H                 ",2018,1,121.180000305176
"615","MPP8874H                 ",2018,1,2560.71006774902
"616","MPP8873H                 ",2018,1,136.080001831055
"617","MIC4036                  ",2018,1,403.460006713867
"618","MIC109G                  ",2018,1,798.640014648438
"619","MCP442H                  ",2018,1,1069.78002929688
"620","M4350                    ",2018,1,1775.42999267578
"621","LT300                    ",2018,1,1860
"622","K889H                    ",2018,1,1051.40002441406
"623","K5LT                     ",2018,1,1826
"624","EH7800H                  ",2018,1,699.059997558594
"625","EH7795H                  ",2018,1,2316.37997436523
"626","EH7792H                  ",2018,1,2582.91998291016
"627","EC60A                    ",2018,1,9135
"628","D5ST                     ",2018,1,2034
"629","D134301                  ",2018,1,1020
"630","CRC14102530              ",2018,1,1050
"631","CRC14030430              ",2018,1,525
"632","CPL10030430              ",2018,1,500
"633","CDX18041530              ",2018,1,679.25
"634","CDH33A                   ",2018,1,3468
"635","CDF10072030              ",2018,1,521
"636","CDF10061630              ",2018,1,1042
"637","CDF10051530              ",2018,1,3806
"638","CDF10030430              ",2018,1,521
"639","CCB00015700              ",2018,1,110.5
"640","CB5LT                    ",2018,1,1188
"641","BP930                    ",2018,1,75.7200012207031
"642","BP910                    ",2018,1,75.7200012207031
"643","BP320                    ",2018,1,221.470001220703
"644","B5ST                     ",2018,1,390
"645","B12XT                    ",2018,1,1020
"646","B12LTH                   ",2018,1,780
"647","B11LT                    ",2018,1,1290
"648","AHVM12                   ",2018,1,1041.55999755859
"649","963203000",2018,1,169.399993896484
"650","960018",2018,1,673.130004882812
"651","960013",2018,1,673.130004882812
"652","940013",2018,1,1700
"653","8951H                    ",2018,1,1069.19995117188
"654","8741H                    ",2018,1,852.400024414062
"655","869G                     ",2018,1,430.480010986328
"656","8697H                    ",2018,1,1159.90002441406
"657","8689H                    ",2018,1,977.450012207031
"658","828800",2018,1,2475
"659","8205H                    ",2018,1,1289.75
"660","810081L                  ",2018,1,3442.53997802734
"661","801404",2018,1,263.190010070801
"662","788G                     ",2018,1,1478.88000488281
"663","77825690",2018,1,196
"664","698H                     ",2018,1,846.210021972656
"665","67126005DB               ",2018,1,325
"666","67025600B                ",2018,1,196
"667","662H                     ",2018,1,290.880004882812
"668","644H                     ",2018,1,547.099975585938
"669","641CX2505                ",2018,1,660.25
"670","641CF3575                ",2018,1,660.25
